"name","latitude","longitude","state","district","ps"
"CAMPBELL BAY","7.01653","93.929259999999999","ANDAMAN & NICOBAR","NICOBAR","CAMPBELL BAY"
"CAR NICOBAR","9.174289999999999","92.817729999999997","ANDAMAN & NICOBAR","NICOBAR","CAR NICOBAR"
"KATCHAL","8.00271","93.38588","ANDAMAN & NICOBAR","NICOBAR","KATCHAL"
"NANCOWRY","8.039999999999999","93.542230000000004","ANDAMAN & NICOBAR","NICOBAR","NANCOWRY"
"TREESSA","8.300739999999999","93.125820000000004","ANDAMAN & NICOBAR","NICOBAR","TREESSA"
"BARATANG PS","12.505129999999999","92.909580000000005","ANDAMAN & NICOBAR","NORTH & MIDDILE ANDAMAN","BARATANG PS"
"Addateegala","17.478380000000001","82.021590000000003","ANDHRA PRADESH","Alluri Sitharama Raju","Addateegala"
"Devipatnam","17.320679999999999","81.65258","ANDHRA PRADESH","Alluri Sitharama Raju","Devipatnam"
"Donkarai","17.927510000000002","81.802040000000005","ANDHRA PRADESH","Alluri Sitharama Raju","Donkarai"
"Gangavaram","17.422219999999999","81.911940000000001","ANDHRA PRADESH","Alluri Sitharama Raju","Gangavaram"
"Dutcherthi","17.568059999999999","82.057779999999994","ANDHRA PRADESH","Alluri Sitharama Raju","Dutcherthi"
"Maredumilli","17.596779999999999","81.715130000000002","ANDHRA PRADESH","Alluri Sitharama Raju","Maredumilli"
"Rajavommangi","17.547070000000001","82.232489999999999","ANDHRA PRADESH","Alluri Sitharama Raju","Rajavommangi"
"Rampachodavaram","17.43843","81.779359999999997","ANDHRA PRADESH","Alluri Sitharama Raju","Rampachodavaram"
"Y. Ramavaram","17.678889999999999","81.958330000000004","ANDHRA PRADESH","Alluri Sitharama Raju","Y. Ramavaram"
"Jaddangi","17.484439999999999","82.155280000000005","ANDHRA PRADESH","Alluri Sitharama Raju","Jaddangi"
"Gurthedu","17.596779999999999","81.715130000000002","ANDHRA PRADESH","Alluri Sitharama Raju","Gurthedu"
"Yetapaka","16.425139999999999","81.964129999999997","ANDHRA PRADESH","Alluri Sitharama Raju","Yetapaka"
"Kunavaram","16.34432","81.733410000000006","ANDHRA PRADESH","Alluri Sitharama Raju","Kunavaram"
"Chintoor","16.96283","82.236009999999993","ANDHRA PRADESH","Alluri Sitharama Raju","Chintoor"
"Vara Ramachandrapuram","17.572778","81.256111000000004","ANDHRA PRADESH","Alluri Sitharama Raju","Vara Ramachandrapuram"
"Moothugudem","17.104759999999999","82.248990000000006","ANDHRA PRADESH","Alluri Sitharama Raju","Moothugudem"
"Chinthapalli","17.648530000000001","82.219130000000007","ANDHRA PRADESH","Alluri Sitharama Raju","Chinthapalli"
"Gangaraju Madugula(G.Madugula)","18.012419999999999","82.529740000000004","ANDHRA PRADESH","Alluri Sitharama Raju","Gangaraju Madugula(G.Madugula)"
"Gudemkothaveedi (G.K.Veedhi)","17.85941","82.198229999999995","ANDHRA PRADESH","Alluri Sitharama Raju","Gudemkothaveedi (G.K.Veedhi)"
"Hukumpeta","18.149049999999999","82.695779999999999","ANDHRA PRADESH","Alluri Sitharama Raju","Hukumpeta"
"Araku","18.32114","82.882140000000007","ANDHRA PRADESH","Alluri Sitharama Raju","Araku"
"Dumbriguda","18.32114","82.882140000000007","ANDHRA PRADESH","Alluri Sitharama Raju","Dumbriguda"
"Koyyuru","17.648530000000001","82.219130000000007","ANDHRA PRADESH","Alluri Sitharama Raju","Koyyuru"
"Sileru","18.051929999999999","82.034850000000006","ANDHRA PRADESH","Alluri Sitharama Raju","Sileru"
"Munchingiput","18.364640000000001","82.508269999999996","ANDHRA PRADESH","Alluri Sitharama Raju","Munchingiput"
"Mampa","17.648530000000001","82.219130000000007","ANDHRA PRADESH","Alluri Sitharama Raju","Mampa"
"Pedabayalu","18.284459999999999","82.582490000000007","ANDHRA PRADESH","Alluri Sitharama Raju","Pedabayalu"
"Anantagiri","18.237770000000001","83.009500000000003","ANDHRA PRADESH","Alluri Sitharama Raju","Anantagiri"
"Annavaram","17.790579999999999","82.395830000000004","ANDHRA PRADESH","Alluri Sitharama Raju","Annavaram"
